iter	Passed	Remaining
413	4155	863
414	4165	853
415	4174	842
416	4184	832
417	4193	822
418	4202	812
419	4211	802
420	4221	792
421	4230	782
422	4240	771
423	4249	761
424	4259	751
425	4268	741
426	4278	731
427	4288	721
428	4297	711
429	4307	701
430	4317	691
431	4327	681
432	4336	671
433	4346	660
434	4355	650
435	4365	640
436	4374	630
437	4384	620
438	4394	610
439	4403	600
440	4414	590
441	4424	580
442	4433	570
443	4444	560
444	4453	550
445	4464	540
446	4476	530
447	4486	520
448	4497	510
449	4506	500
450	4516	490
451	4526	480
452	4536	470
453	4545	460
454	4555	450
455	4565	440
456	4574	430
457	4584	420
458	4593	410
459	4603	400
460	4613	390
461	4622	380
462	4631	370
463	4641	360
464	4650	350
465	4660	340
466	4669	329
467	4679	319
468	4688	309
469	4697	299
470	4707	289
471	4716	279
472	4726	269
473	4736	259
474	4745	249
475	4755	239
476	4764	229
477	4773	219
478	4783	209
479	4792	199
480	4802	189
481	4811	179
482	4821	169
483	4830	159
484	4839	149
485	4856	139
486	4866	129
487	4876	119
488	4885	109
489	4895	99
490	4905	89
491	4914	79
492	4924	69
493	4935	59
494	4946	49
495	4956	39
496	4967	29
497	4980	20
498	4990	10
499	5000	0
