iter	RMSE
0	0.1624410258
1	0.1589563399
2	0.1545837155
3	0.1508863185
4	0.1465717058
5	0.1437137684
6	0.1409689666
7	0.1381736108
8	0.1358997074
9	0.1335116108
10	0.1309932686
11	0.1291391086
12	0.1261800067
13	0.1237835272
14	0.1214272728
15	0.1190985275
16	0.1170432804
17	0.1141345059
18	0.1131000509
19	0.1110720498
20	0.109288227
21	0.1073998267
22	0.1055713817
23	0.1041634289
24	0.1029018338
25	0.1008302234
26	0.0985840649
27	0.09735038075
28	0.09578490972
29	0.09448874866
30	0.09292204243
31	0.0912125604
32	0.0899706187
33	0.08901171891
34	0.08768892669
35	0.08603855864
36	0.08462258524
37	0.08350209119
38	0.08251951187
39	0.08107508649
40	0.07958514797
41	0.07798488154
42	0.07655792997
43	0.0755530208
44	0.07423056198
45	0.07292556452
46	0.0723133308
47	0.07107042992
48	0.07034413678
49	0.06983076603
50	0.06930399695
51	0.06844255527
52	0.06804922463
53	0.06690723431
54	0.06605894303
55	0.06464146194
56	0.06389717505
57	0.06304397495
58	0.06217812767
59	0.06156278875
60	0.06062082818
61	0.0597369029
62	0.05919994524
63	0.05814245704
64	0.05750918755
65	0.05656805296
66	0.0559910365
67	0.05557589186
68	0.05488034327
69	0.05426384387
70	0.05351299579
71	0.05295471113
72	0.05235777832
73	0.05152038286
74	0.05091532869
75	0.05008059763
76	0.04954066326
77	0.04860494537
78	0.04824382841
79	0.04770922117
80	0.04692397177
81	0.04631253384
82	0.0455291364
83	0.04497584898
84	0.044359416
85	0.04405410998
86	0.04379243113
87	0.0432444898
88	0.04301351407
89	0.04258211214
90	0.04198551453
91	0.04150590729
92	0.0411828193
93	0.04064167248
94	0.04030509161
95	0.03998110455
96	0.03937055287
97	0.03901553118
98	0.03843563778
99	0.03818510031
100	0.0375935332
101	0.03728978865
102	0.03688653837
103	0.03663880587
104	0.0364381727
105	0.03594979603
106	0.03551944092
107	0.03532421772
108	0.03507640137
109	0.03469300757
110	0.03449161212
111	0.03415611087
112	0.03367769282
113	0.03345097423
114	0.03325184759
115	0.03300122379
116	0.03249807129
117	0.03195928257
118	0.03153969089
119	0.03110968188
120	0.03096299208
121	0.03039309498
122	0.03001184074
123	0.02984071147
124	0.02962542822
125	0.02943479111
126	0.02926780764
127	0.02902582624
128	0.02882321054
129	0.0286346657
130	0.02827854123
131	0.02786289724
132	0.02767177073
133	0.02748903946
134	0.02710143556
135	0.02663989155
136	0.0264337993
137	0.02625807372
138	0.0260917719
139	0.02588632335
140	0.02575020849
141	0.02545068923
142	0.02512476542
143	0.02472261046
144	0.02453203849
145	0.02443900129
146	0.02424700017
147	0.02409027817
148	0.02394217839
149	0.02358262535
150	0.02345990929
151	0.02321588729
152	0.02304765153
153	0.02291890972
154	0.02272931328
155	0.02257362925
156	0.02225973368
157	0.02211259021
158	0.02191359548
159	0.02157614196
160	0.02145732782
161	0.02114333791
162	0.02102581972
163	0.02091435518
164	0.02079751701
165	0.02053990111
166	0.02024679048
167	0.02012468962
168	0.01983369032
169	0.01976113123
170	0.01948035898
171	0.01938696983
172	0.01930566156
173	0.01919771208
174	0.01908665933
175	0.01883477713
176	0.0185594816
177	0.01846367445
178	0.01826127036
179	0.01818102323
180	0.01792212494
181	0.01785987153
182	0.01776507684
183	0.01769066836
184	0.01760789531
185	0.01747483732
186	0.01728049965
187	0.01704282955
188	0.01697484163
189	0.01686038836
190	0.01665816688
191	0.01659432399
192	0.0163783917
193	0.01630707983
194	0.01624714257
195	0.01618763349
196	0.01612954706
197	0.01588809102
198	0.01583077481
199	0.01559967724
200	0.01554540324
201	0.01527685422
202	0.01522756501
203	0.01512551608
204	0.01496118149
205	0.01472551528
206	0.01462392954
207	0.01457994402
208	0.01436240509
209	0.01415770205
210	0.01395622876
211	0.0137863523
212	0.01374042341
213	0.01369555733
214	0.01353185048
215	0.01346902631
216	0.01342656635
217	0.01334568238
218	0.01330941596
219	0.01315707434
220	0.01310023846
221	0.01306198909
222	0.01291879782
223	0.01271159706
224	0.01258165817
225	0.01236165386
226	0.01232603098
227	0.01220217471
228	0.0120787484
229	0.01191478494
230	0.01175130944
231	0.01166957027
232	0.01155625143
233	0.01150208726
234	0.01137345362
235	0.0112704444
236	0.01117048557
237	0.0111428023
238	0.0111103633
239	0.01097249151
240	0.01093443989
241	0.01082572066
242	0.01071918803
243	0.01065046461
244	0.01053407779
245	0.01043315511
246	0.01039129872
247	0.01021195534
248	0.01010261669
249	0.01006235558
250	0.009956745458
251	0.009813582156
252	0.009787696808
253	0.00968554207
254	0.009647658717
255	0.009555603851
256	0.009531694419
257	0.009451807391
258	0.009415700597
259	0.009321521836
260	0.009210872284
261	0.009137539841
262	0.009005280168
263	0.008951939658
264	0.008886275386
265	0.008853106736
266	0.008753514303
267	0.008657297234
268	0.00860739074
269	0.008571686596
270	0.008503888912
271	0.008469432384
272	0.008409744479
273	0.008327241956
274	0.008294052771
275	0.008158743645
276	0.008076509782
277	0.008044546973
278	0.007943134911
279	0.007887080285
280	0.007790299909
281	0.007715850913
282	0.007644912623
283	0.007580112664
284	0.007491853684
285	0.007402472186
286	0.007319846683
287	0.00725634083
288	0.007197388395
289	0.007119957167
290	0.007085974248
291	0.00701106945
292	0.006932597054
293	0.00686154436
294	0.006774770308
295	0.006702180974
296	0.006670275192
297	0.006602234041
298	0.006508158538
299	0.006484635685
300	0.006419387787
301	0.006347515993
302	0.006322701398
303	0.006293339288
304	0.006246711843
305	0.006154228104
306	0.006117589319
307	0.006068875345
308	0.00603287385
309	0.005969338533
310	0.005924798755
311	0.005886658583
312	0.005866074914
313	0.00580933971
314	0.005768844038
315	0.005724206378
316	0.005704773704
317	0.005665455775
318	0.005627605384
319	0.005546937238
320	0.005494330664
321	0.005449778955
322	0.005426023855
323	0.005351262295
324	0.005329287127
325	0.005307013629
326	0.005236481605
327	0.00516068869
328	0.005093255319
329	0.005046312051
330	0.00498217952
331	0.004956882219
332	0.004894238807
333	0.004858442848
334	0.004836009313
335	0.004806226878
336	0.004743156392
337	0.004678816255
338	0.00461514055
339	0.004568275064
340	0.004518039842
341	0.004486008359
342	0.004455031575
343	0.00439722856
344	0.004349538688
345	0.004295106306
346	0.004247037451
347	0.004199222144
348	0.004175699917
349	0.004130455149
350	0.004117339079
351	0.004074869242
352	0.004052091394
353	0.004022190271
354	0.003993545355
355	0.003962330415
356	0.00391716629
357	0.003891287249
358	0.003870508666
359	0.003828581538
360	0.003800552825
361	0.003754537243
362	0.003711958173
363	0.003678356561
364	0.003649358109
365	0.003613083444
366	0.003575691084
367	0.003552907009
368	0.003522384495
369	0.003493224611
370	0.003473610543
371	0.003449555896
372	0.003421584236
373	0.003403319858
374	0.003388089453
375	0.003358595656
376	0.003344180698
377	0.003321837498
378	0.003299024389
379	0.003261785495
380	0.003232103364
381	0.003222700926
382	0.003197371997
383	0.003172969059
384	0.003153361082
385	0.003137131761
386	0.003121592916
387	0.003102838937
388	0.003075382476
389	0.003063635265
390	0.003031842642
391	0.003006689911
392	0.002990520238
393	0.002965872958
394	0.002936709481
395	0.002921393329
396	0.002913510133
397	0.002881879407
398	0.002874038025
399	0.00285891925
400	0.00285128118
401	0.002840813527
402	0.0028137143
403	0.002784655082
404	0.002772132229
405	0.002764924747
406	0.002751392371
407	0.002726003883
408	0.0027146408
409	0.002703672704
410	0.002691753103
411	0.002663791808
412	0.002640524283
413	0.002629300122
414	0.00262194119
415	0.002611148249
416	0.002595295534
417	0.002573536539
418	0.00256640439
419	0.002559470139
420	0.002541769538
421	0.002515359187
422	0.002507973038
423	0.002500811324
424	0.002469888651
425	0.002458394394
426	0.002428920355
427	0.002419361266
428	0.002395522039
429	0.002379621345
430	0.002376243169
431	0.002370706193
432	0.002359811167
433	0.00235522767
434	0.002350789267
435	0.00234190706
436	0.002332319623
437	0.002307455119
438	0.002297778172
439	0.002280141364
440	0.002262241344
441	0.002248130663
442	0.002219704234
443	0.002210944831
444	0.002206447094
445	0.002179114418
446	0.002170537008
447	0.002155819953
448	0.002144816699
449	0.002135851863
450	0.002123423055
451	0.002119037223
452	0.00209424959
453	0.002080442946
454	0.002076180632
455	0.002058260101
456	0.002046081791
457	0.002036693762
458	0.00202929089
459	0.00201497339
460	0.002006593308
461	0.001997786008
462	0.001983206462
463	0.001962951143
464	0.001954670273
465	0.001940878124
466	0.001932870064
467	0.001915877479
468	0.001909127885
469	0.001892825988
470	0.00187925334
471	0.001871689537
472	0.001867800721
473	0.001860653476
474	0.0018472259
475	0.001831174306
476	0.00182403838
477	0.001813677086
478	0.001791664461
479	0.001774671866
480	0.001762667664
481	0.001756117791
482	0.001735669731
483	0.001732085795
484	0.001716345484
485	0.001712894199
486	0.001699037709
487	0.001687364994
488	0.001684004272
489	0.001675561586
490	0.001667378467
491	0.001656404252
492	0.001643953684
493	0.001636009384
494	0.001629689476
495	0.001621839651
496	0.001614372053
497	0.001600519281
498	0.001597169773
499	0.001588073533
